,Unnamed: 0,post_id,comments,timestamp,text,id
0,0,18230240650081909,"{'timestamp': '2023-01-01T11:57:16+0000', 'text': 'How to order', 'id': '17975853511819224'}",2023-01-01T11:57:16+0000,How to order,17975853511819224
1,1,17962906022156039,"{'timestamp': '2023-05-19T06:23:18+0000', 'text': 'How long it would take for delivery?', 'id': '17881680083854210'}",2023-05-19T06:23:18+0000,How long it would take for delivery?,17881680083854210
2,2,17962906022156039,"{'timestamp': '2023-05-19T06:22:16+0000', 'text': 'Hi', 'id': '18017156980598739'}",2023-05-19T06:22:16+0000,Hi,18017156980598739
3,3,17856177032835449,"{'timestamp': '2022-10-25T13:01:34+0000', 'text': 'Eann price', 'id': '18189747349214501'}",2022-10-25T13:01:34+0000,Eann price,18189747349214501
4,4,18195331531172680,"{'timestamp': '2022-10-22T09:25:34+0000', 'text': 'How much', 'id': '17868542852789970'}",2022-10-22T09:25:34+0000,How much,17868542852789970
5,5,18253087534186277,"{'timestamp': '2022-10-03T11:58:24+0000', 'text': 'Size', 'id': '17928527339414172'}",2022-10-03T11:58:24+0000,Size,17928527339414172
6,6,17925963587406802,"{'timestamp': '2022-07-19T08:46:09+0000', 'text': 'How to order??', 'id': '18101884570291500'}",2022-07-19T08:46:09+0000,How to order??,18101884570291500
7,7,17976594958608662,"{'timestamp': '2022-07-14T14:52:21+0000', 'text': 'How much', 'id': '18004117579452040'}",2022-07-14T14:52:21+0000,How much,18004117579452040
8,8,17912865275452660,"{'timestamp': '2022-06-22T01:44:47+0000', 'text': 'I want this', 'id': '17933170889127909'}",2022-06-22T01:44:47+0000,I want this,17933170889127909
9,9,17867379731684127,"{'timestamp': '2022-06-28T09:11:05+0000', 'text': 'Size pls', 'id': '18170204866234514'}",2022-06-28T09:11:05+0000,Size pls,18170204866234514
10,10,17867379731684127,"{'timestamp': '2022-06-13T12:50:58+0000', 'text': 'Rate mam', 'id': '17950373398839990'}",2022-06-13T12:50:58+0000,Rate mam,17950373398839990
11,11,17915184869376958,"{'timestamp': '2022-06-02T11:14:46+0000', 'text': 'Price', 'id': '17961908782686963'}",2022-06-02T11:14:46+0000,Price,17961908782686963
12,12,17915184869376958,"{'timestamp': '2022-06-02T07:39:31+0000', 'text': 'How much??', 'id': '17881994216664772'}",2022-06-02T07:39:31+0000,How much??,17881994216664772
13,13,17915184869376958,"{'timestamp': '2022-06-02T04:26:26+0000', 'text': 'Rate please', 'id': '17952249361784802'}",2022-06-02T04:26:26+0000,Rate please,17952249361784802
14,14,17923079576350503,"{'timestamp': '2022-04-24T08:08:20+0000', 'text': 'How much sis', 'id': '17937169733080910'}",2022-04-24T08:08:20+0000,How much sis,17937169733080910
15,15,17925455120200487,"{'timestamp': '2022-07-12T12:10:46+0000', 'text': 'Mam for combo pp??', 'id': '17959484188846266'}",2022-07-12T12:10:46+0000,Mam for combo pp??,17959484188846266
