caption,comments_count,like_count,is_shared_to_feed,media_product_type,media_type,media_url,is_comment_enabled,permalink,timestamp,id
"*1099+$*

 *Premium Gadwal / Kalyani Cotton Silk Sarees* 

 *No colour fade after wash (Normal Wash)*

*With  Contrast Blouse*",0,6,True,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/3D4D7BB7EE3D67C3CCC3997527DAEB88_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=100&vs=961989244824764_2290496405&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8zRDREN0JCN0VFM0Q2N0MzQ0NDMzk5NzUyN0RBRUI4OF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR1BfQlV4U1RiNXZMMlBVVkFHWjQ2dy1fWnFRa2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmloO8mbnk7z8VAigCQzMsF0A7lgQYk3S8GBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfAXSC8Ohs2PNVXKKjzm3PNXWSwgzUuwjjXhoqGF9LCUSg&oe=646778A9&_nc_sid=c07a80&_nc_rid=d25a20efbe,True,https://www.instagram.com/reel/CrituaBI93m/,2023-04-27 14:11:27+00:00,18276019384190032
"*1099+$* (CS) 

 *Premium Gadwal / Kalyani Cotton Silk Sarees* 

 *No colour fade after wash (Normal Wash)*

*With  Contrast Blouse*",0,5,True,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/33473CAFB775D1254A087E91371C9787_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=102&vs=534352282200062_1102877745&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8zMzQ3M0NBRkI3NzVEMTI1NEEwODdFOTEzNzFDOTc4N192aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0I1NWtCTU82dGZwT1RFS0FGWTF4bGlEWG45c2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm7KmU0v7ZiEAVAigCQzMsF0AowQYk3S8bGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfDPQXh3G-fgM-Cn2ZOCzSQCNNFxNEVQb4CJp1u4W0rfHw&oe=6467F3B1&_nc_sid=c07a80&_nc_rid=cd6b0b29f3,True,https://www.instagram.com/reel/CrA_fEQIdt0/,2023-04-14 11:52:01+00:00,17962404812261069
"*By the Grace of Almighty Presenting our new launch of Family Combo* (GG) 

*New Arrivals - Ramadan Edition*

*Always Dress Well Keep It Simple But Significant* 

 *All Garments are made of  Export surplus Cotton fabric* 

*Mens Shirt* : Slim Fit

*Womens Kurti* : Straight cut Pattern with beautiful contrast embroidery design with side slit open with side single Pocket

*Kids Frock* : Knee Length frock with Ruffled sleeves and strings on both side with back buttons.

Mens size : *M-39,  L-40, XL-42, XXL-44*
Mens Price : *₹790*

Womens Size : *M-38, L-40, XL-42 XXL-44, 3XL-46*
Womens Price : *₹790*

Kids Shirt : *1 to 14yrs*
Kids Shirt Price :
1-2 to 6-7yrs : *₹590*
7-8 to 13-14yrs : *₹650*

Kids Frock : *1 to 14yrs*
Kids Frock Price :
1-2 to 6-7yrs : *₹650*
7-8 to 13-14yrs : *₹690*

*Moq : 3 PCs*

Shipping charges :

Tamilnadu: *₹60*
Other states : *₹80(upto 3 pcs)*
Other states : *₹100(for 4 pcs)*",0,4,,FEED,CAROUSEL_ALBUM,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/341130617_970875127620662_183691888678193072_n.webp?stp=dst-jpg&_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=9hZwQqX5NCAAX-Gcwlg&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfC8rkLc5VMl7P2g-o4g7Q7VWTzfc7K5226Sv433yzV68g&oe=646BDB02,True,https://www.instagram.com/p/CrAruSmvOGF/,2023-04-14 08:57:29+00:00,18204651619244894
"*750+$* CS

Naira cut kurti pant set
Kurti length 46
Pant 38

M l xl xxl

Heavy embroidery work kurti

80 per kg ship
2 pcs can come in one ship",0,5,,FEED,CAROUSEL_ALBUM,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/340322355_560506606073500_2612880033720929764_n.webp?stp=dst-jpg&_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=uDTGoK_DVCcAX80Yp7M&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfDPNadMVDxHwGGiO3qKPltmqKvlrnDvBAZwWNV2fMW9SA&oe=646B8C87,True,https://www.instagram.com/p/Cq0zd71P3fH/,2023-04-09 18:14:16+00:00,17969529302119541
"*999+$* CS

 *Premium Gadwal / Kalyani Cotton Silk Sarees*

 *No colour fade after wash (Normal Wash)*

 *With  Contrast Blouse* 

 *Very soft and smooth to wear*",0,16,True,REELS,VIDEO,,True,https://www.instagram.com/reel/Cq0baQ5IhMQ/,2023-04-09 14:44:37+00:00,17951815298578485
"👉💥*Launching New Colour’s*💥👌 (MNO) 

👗*Launching New Designer Party Wear Look Rose 🌹 Flower Pattern Work Gown & Dupatta *👗🧚‍♀️⭐️

🧵*FABRIC DETAILS*🧵👇

*👉🧚‍♀️Gown Fabric* :Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve
*(Front & Back Side Full Work)*
*👉🧚‍♀️Gown Inner* : Micro Cotton
*👉🧚‍♀️Gown Size* : Up To 42 Xl Free Size & XXl 44 Margin *(Fully Stiched )*
*👉🧚‍♀️Gown Length* :52-53 Inches
*👉🧚‍♀️Gown Flair * : 3 Meter 

*👉🧚‍♀️Bottom Fabric * :No

*👉🧚‍♀️Dupatta Fabric * :Heavy Soft Butterfly Net With Rivet Moti Work With Pallu Raffle 
*👉🧚‍♀️Dupatta Length*:2.20 Meter

👉* Rate :-1300rs freeshipping 

📌*FULL STOCK READY TO SHIP *🛍
*Unique Design For Your Unique Style……!!!!*
👌⭐️ *Good Quality * ⭐️💗💫",0,13,,FEED,CAROUSEL_ALBUM,https://scontent-maa2-1.cdninstagram.com/v/t51.29350-15/339454406_924792308662394_3625172941333570285_n.webp?stp=dst-jpg&_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=VZ2oMlRJGfkAX_rI3Ou&_nc_ht=scontent-maa2-1.cdninstagram.com&edm=AEQ6tj4EAAAA&oh=00_AfDXaSU7JFmxqbLHm1HpP3Ws4GDUxF-6hrY_ZZ5Em8yu3A&oe=646B19D6,True,https://www.instagram.com/p/CqkOA_qvQgX/,2023-04-03 07:39:09+00:00,17975922701005340
"Price 1400rs freeshipping (MNO) 

👗💥💥Presenting By New Party Wear Look Organza  Silk  Gown With Dupatta 

🛍️ *Febrics Tyep*

👗Gown Febrics Organza  Silk Heavy Quality Fabric With Digital Print And Handwork 💥Gold Foil , Full Sleeve 

👗Gown : Organza Taby Silk 
👗Gown : Length 55-57 In
👗Gown Inner : Heavy Micro Cotton
👗Gown Flair :  4.20 Meter
👗Gown : Size XL-42 ( Full Stitich) FREE SIZE 

👗Dupatta : Organza  Silk With Digital Print , Four Side Golden Gotta Lece Broder …. 

: A Great Quality / : A 1  Quality 
🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈

 *Due to photography minor color difference will be there*",0,5,True,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/5647CB227402EA4B4AE4AAE6C4ADE1B0_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=100&vs=1372443053304347_2820627156&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC81NjQ3Q0IyMjc0MDJFQTRCNEFFNEFBRTZDNEFERTFCMF92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR04xbFBoVG5sakpJV3JNQUFORXBaNUpwNzZnM2JxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAm0LmD0rnz6z8VAigCQzMsF0BGa0OVgQYlGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfCfKcMEMkulj5uT44LQm-UxIBcMb8gk9SiNf_89z-1Nzw&oe=6467DCB9&_nc_sid=c07a80&_nc_rid=6ba5e43f3a,True,https://www.instagram.com/reel/CqkNwSlozpv/,2023-04-03 07:37:21+00:00,17948205518601991
"*GORGEOUS IKKAT 5 PIECE COMBO* (MNO) 
 *➣1pcs Tote + 1pcs Coin Pouch + 1pcs Hand Wallet + 1pcs Sling + 1pcs Goggle Pouch.*
*➣ Stylish & Unique.*
*➣ Size Of Tote: 15"" × 12"".*
*➣ Hand Wallet: 8.5"" × 5.5"".*
*➣ Coin Pouch: 6 "" × 4.5""*
*➣ Goggle Pouch: 8.5""×4.5"".*
*➣ Sling: 7.5"" × 8"".*
*➣ Available In 9 Beautiful Prints.*
*➣ Excellent Quality.*
*➣ Video Provided For Simplification.*
*➣ Limited Stock.*
 899rs freeshipping",0,5,True,REELS,VIDEO,,True,https://www.instagram.com/reel/CpIf_7nKytN/,2023-02-26 16:46:56+00:00,18182191855301225
"Price 999/-+Ship

Adding The New Colour To Our Most Loved Design
 
Featuring Solid Georgette Maxi Dress With Finely Curated 9MM Sequence All Over! With A Unique Neck Pattern 😍 This Is Made For Simple Casual Dressing With Subtle Detailing! Hurry, Get Yours Now! 😍 Pair It With A Beautiful Georgette  Dupptta And Frill Lace Borders 😍

➡Fabric: Georgette
➡Sizes: M-38 L-40 XL-42 XXL-44
➡Lining:  Crepe
➡Length: 52""
➡Color: Teal Blue ✨ 

Happy shopping 🛍️😀",0,6,True,REELS,VIDEO,https://scontent-maa2-2.cdninstagram.com/o1/v/t16/f1/m82/3D44E7EE167C0F46555A1C8A819D0695_video_dashinit.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ht=scontent-maa2-2.cdninstagram.com&_nc_cat=108&vs=1202751483780217_905121099&_nc_vs=HBksFQIYT2lnX3hwdl9yZWVsc19wZXJtYW5lbnRfcHJvZC8zRDQ0RTdFRTE2N0MwRjQ2NTU1QTFDOEE4MTlEMDY5NV92aWRlb19kYXNoaW5pdC5tcDQVAALIAQAVABgkR0FrYzNoTmd1UjFtdTJnQUFNN0NveUZHd3NNOGJxX0VBQUFGFQICyAEAKAAYABsBiAd1c2Vfb2lsATEVAAAmrtO915%2Fc1D8VAigCQzMsF0Aktsi0OVgQGBJkYXNoX2Jhc2VsaW5lXzFfdjERAHUAAA%3D%3D&ccb=9-4&oh=00_AfCxIBJUNLM3onF3XvOoa1kq7L_FWhTjYBzUBtbBSl1ikA&oe=6467BB94&_nc_sid=c07a80&_nc_rid=f0ec4b9124,True,https://www.instagram.com/reel/CpHzoKEIYj5/,2023-02-26 10:18:38+00:00,18034506853453873
"New Arrival 🤩 Similar to SitaRamam saree 🦋❤

Pure Chinon Silk Saree Multi Emrodiry Squence Work Saree Lucknowi Lace & Raw Silk Stich Blouse Size Up To 42 !!

Price 999/- free ship 

Ready Stock Available",0,3,True,REELS,VIDEO,,True,https://www.instagram.com/reel/CpHiRLyI0Qk/,2023-02-26 07:48:50+00:00,18089408371317547
